ID,Name,Category,Version,Power,Voltage,Current,IP Rating,Mount,Communication,Temp,Speed,Ratio,Efficiency,Output Speed,Torque,Housing / Material,Lubricant,Weight,Size,Connection,Pressure,Flow (Cv),Material,Media,Actuator,Flow Rate,Max Pressure,Tank Volume,Cooling,Noise
C-102,Compact Micro VFD,Controllers,1,,200-240 V AC (1-Phase),9.6 A,IP20,DIN Rail,Modbus RTU,-10°C to +40°C,,,,,,,,,,,,,,,,,,,Natural Convection / Fan,
C-103,Precision Servo Controller,Controllers,1,,380-415 V AC,12 A,IP20,Panel Mount,EtherCAT / CANopen,0°C to +45°C,,,,,,,,,,,,,,,,,,,Forced Fan,
C-104,Smart Motor Soft Starter,Controllers,1,,380-415 V AC,32 A,IP20,DIN Rail / Backplate,Modbus RTU,-10°C to +45°C,,,,,,,,,,,,,,,,,,,Bypass Shunt / Convection,
C-105,Rugged NEMA 4X / IP65 Outdoor VFD,Controllers,1,,380-415 V AC,16.5 A,IP65 (NEMA 4X),Wall Mount Outdoor,Profinet / Modbus RTU,-20°C to +55°C,,,,,,,,,,,,,,,,,,,External Heat Sink,
GB-100,Coaxial Helical Gearbox H100,Gearboxes,1,4 kW,,,,Foot Mount (H/V),,,1440 RPM,10:1,96%,144 RPM,250 Nm,High-Grade Grey Cast Iron,Synthetic ISO VG 220,18 kg,,,,,,,,,,,,
GB-101,Medium Coaxial Helical Gearbox H101,Gearboxes,1,7.5 kW,,,,Foot Mount / Flange Out,,,1440 RPM,20:1,95%,72 RPM,580 Nm,Cast Iron GG20,Synthetic ISO VG 320,34 kg,,,,,,,,,,,,
GB-102,Right-Angle Worm Gearbox,Gearboxes,1,3 kW,,,,Shaft Mounted Hollow,,,1440 RPM,40:1,88%,36 RPM,320 Nm,Die-Cast Aluminum,Polyglycol Oil PG 460,14 kg,,,,,,,,,,,,
GB-103,Heavy-Duty Planetary Gearbox,Gearboxes,1,15 kW,,,,Flange Mount B14,,,1440 RPM,60:1,94%,24 RPM,1800 Nm,Spheroidal Graphite Cast Iron,Mineral Oil ISO VG 220,92 kg,,,,,,,,,,,,
GB-104,Compact Helical-Bevel Gearbox,Gearboxes,1,2.2 kW,,,,Foot / Flange Mount,,,1440 RPM,5:1,96%,288 RPM,120 Nm,Die-Cast Aluminum,Synthetic ISO VG 150,11 kg,,,,,,,,,,,,
V-100,High-Performance Stainless Ball Valve,Valves,2,,,,,,,-20°C to +180°C,,,,,,,,,DN50 (2 Inch),Flanged RF,16 bar,240,SS316,"Water, Chemicals, Mild Solvents",Manual Handle / ISO Mount,,,,,
V-101,High-Pressure Cast Steel Gate Valve,Valves,1,,,,,,,-29°C to +425°C,,,,,,,,,DN80 (3 Inch),Flanged RF PN40,PN40,580,Carbon Steel WCB,"High-Pressure Steam, Water, Oil",Handwheel Operated,,,,,
V-102,Pneumatic Actuated Butterfly Valve,Valves,1,,,,,,,-10°C to +110°C,,,,,,,,,DN100 (4 Inch),Wafer (Bolted),PN10 / PN16,620,Ductile Iron GGG40,"Water, Waste Slurry, Low-Pressure Air",Pneumatic Double-Acting,,,,,
V-103,Sanitary Threaded Globe Valve,Valves,1,,,,,,,-20°C to +150°C,,,,,,,,,DN25 (1 Inch),Threaded NPT / Tri-Clamp,PN16,18,Stainless Steel 316L,"Food Juices, Sanitizers, Pure Steam",Manual Handle / Digital Control,,,,,
V-104,Dual Plate Non-Return Check Valve,Valves,1,,,,,,,-20°C to +200°C,,,,,,,,,DN80 (3 Inch),Wafer (Standard),PN16,310,Stainless Steel 316,"Water, Chemical Solvents, Oil",Spring-Assisted Self-Closing,,,,,
COMP-100,Heavy-Duty Reciprocating Air Compressor,Compressors,1,5.5 kW,415 V,,,,,5°C to 45°C,1440 RPM,,,,,,,165 kg,,,,,,,,,10 bar,270 L,Air Cooled - Flywheel Fan,75 dB(A)
COMP-101,High-Capacity Rotary Screw Compressor,Compressors,1,22 kW,415 V,,,,,5°C to 45°C,2900 RPM,,,,,,,480 kg,,,,,,,,,13 bar,Tankless (Continuous Loop),Oil Injected / Air Cooler,68 dB(A)
COMP-102,Silent Rotary Scroll Compressor,Compressors,1,7.5 kW,415 V,,,,,5°C to 40°C,2900 RPM,,,,,,,145 kg,,,,,,,,,8 bar,200 L,Forced Air Cooled,62 dB(A)
COMP-103,Portable Site Air Compressor,Compressors,1,11 kW,415 V,,,,,-5°C to +45°C,1440 RPM,,,,,,,290 kg,,,,,,,,,10 bar,500 L,Air Cooled,78 dB(A)
